#{"t_start": 1734263235.8277419, "env_id": "Pendulum-v1"}
r,l,t
-1442.52777,200,1.092636
-1286.964841,200,1.158904
-1403.258667,200,1.224994
-1215.056385,200,1.293114
-1628.358202,200,1.361034
-1634.631699,200,1.948464
-1069.115799,200,2.014134
-961.219571,200,2.080843
-1584.22427,200,2.149207
-1488.936931,200,2.215692
-754.736096,200,2.96645
-1171.81095,200,3.032709
-1457.950197,200,3.101718
-1247.609655,200,3.168415
-1388.224796,200,3.234953
-1386.396522,200,3.890992
-1600.24338,200,3.959687
-1594.140084,200,4.026101
-933.437853,200,4.091956
-972.585518,200,4.158611
-1544.060899,200,4.886012
-1691.730618,200,4.954243
-984.884088,200,5.020897
-1096.628382,200,5.088071
-1007.420201,200,5.156225
-1342.469339,200,6.018363
-970.751143,200,6.085541
-1437.271214,200,6.151485
-1532.370125,200,6.219488
-1525.574869,200,6.285855
-1321.132692,200,7.039907
-1410.62916,200,7.106304
-1072.764073,200,7.174512
-1271.00672,200,7.240516
-995.359496,200,7.307322
-1412.541367,200,8.03244
-1555.849477,200,8.100831
-1063.98905,200,8.167248
-1078.993061,200,8.23429
-1065.16751,200,8.300238
-907.427046,200,8.946326
-1684.347556,200,9.013526
-1083.980966,200,9.080276
-1267.686036,200,9.146435
-902.27141,200,9.215594
-1174.965242,200,9.813613
-1171.730594,200,9.880765
-1272.362751,200,9.947316
-1096.187082,200,10.015906
-1758.391812,200,10.082609
-1613.854186,200,10.894456
-1274.014753,200,11.08115
-1392.199593,200,11.244716
-1727.793839,200,11.409359
-1869.885239,200,11.565972
-1710.296235,200,12.23364
-1713.341752,200,12.402124
-1824.907632,200,12.562182
-1753.196873,200,12.727681
-1646.185755,200,12.883843
-1724.569853,200,13.696086
-1895.677174,200,13.858152
-1594.996876,200,14.023216
-1713.941094,200,14.178155
-1436.369822,200,14.345754
-1562.200576,200,15.109148
-1733.031322,200,15.269989
-1533.150929,200,15.436163
-1434.882861,200,15.594388
-1075.852925,200,15.760624
-1048.548956,200,16.435572
-1282.538029,200,16.601906
-1372.974012,200,16.768174
-1356.266094,200,16.926034
-1422.675775,200,17.092911
-1443.582368,200,17.763252
-1381.00316,200,17.930385
-1558.784687,200,18.08674
-1482.804971,200,18.253347
-1594.100431,200,18.417495
-1611.769804,200,19.190543
-1618.553779,200,19.357176
-1533.617364,200,19.515037
-1392.909203,200,19.680166
-1421.609149,200,19.843146
-1400.983765,200,20.561042
-1384.981502,200,20.717396
-1519.04049,200,20.884416
-1554.547164,200,21.053116
-1564.728787,200,21.215049
-1536.67718,200,21.897793
-1545.662202,200,22.066442
-1556.445112,200,22.236069
-1630.192403,200,22.398884
-1584.287568,200,22.563951
-1505.274361,200,23.214178
-1630.615683,200,23.390483
-1604.746105,200,23.561883
-1579.378955,200,23.803127
-1634.110956,200,23.969532
-1586.577103,200,24.69248
-1553.07672,200,24.868145
-1546.698347,200,25.033423
-1463.996241,200,25.203657
-1425.246781,200,25.371937
-1231.036133,200,26.008182
-1639.886059,200,26.170526
-1384.839146,200,26.328484
-1397.41999,200,26.493702
-1551.479186,200,26.647367
-1356.60266,200,27.286555
-1328.212809,200,27.445023
-1209.533413,200,27.609149
-1591.02255,200,27.771301
-1622.473404,200,27.924968
-1038.059156,200,28.559184
-1561.993704,200,28.721229
-1642.204837,200,28.884318
-1487.274796,200,29.039551
-1504.089362,200,29.20199
-1628.427953,200,29.835697
-1467.580434,200,29.993751
-1509.049012,200,30.156452
-1454.439891,200,30.309748
-1557.669434,200,30.474959
