#{"t_start": 1734272182.5185752, "env_id": "Pendulum-v1"}
r,l,t
-1072.963735,200,1.092615
-1727.958237,200,1.164069
-818.363448,200,1.23446
-1314.521929,200,1.303984
-1320.257412,200,1.375325
-1174.89581,200,1.954329
-980.970954,200,2.023403
-1022.269789,200,2.094796
-1063.648109,200,2.166194
-1274.529448,200,2.234778
-751.614995,200,2.788503
-1104.776723,200,2.858573
-1381.848269,200,2.928294
-961.353281,200,2.996234
-1395.349146,200,3.063962
-981.17761,200,3.599353
-970.537091,200,3.674116
-1841.942385,200,3.745923
-1005.883375,200,3.815536
-1240.995152,200,3.8856
-665.389401,200,4.432189
-996.580736,200,4.507142
-1761.36888,200,4.582326
-1718.725818,200,4.657622
-1442.306227,200,4.728937
-1825.17578,200,5.282236
-1270.921952,200,5.352812
-1815.66518,200,5.423553
-929.600404,200,5.496881
-1257.084073,200,5.567528
-1463.263229,200,6.134862
-1548.296272,200,6.221394
-1169.38793,200,6.297459
-1189.482604,200,6.376848
-757.600432,200,6.456749
-1680.298754,200,7.036251
-1359.645715,200,7.110556
-1392.74559,200,7.184752
-963.852851,200,7.258805
-907.06337,200,7.332556
-887.663896,200,7.906908
-1702.748116,200,7.980315
-1070.461476,200,8.053926
-1167.081232,200,8.127363
-875.150981,200,8.201695
-868.733575,200,8.773426
-1308.848204,200,8.846993
-1054.742731,200,8.920712
-1078.990328,200,8.994724
-1047.805929,200,9.068333
-1546.116594,200,9.94072
-1394.520506,200,10.136209
-1069.688092,200,10.337173
-1427.25474,200,10.530327
-1376.838319,200,10.728319
-1179.049501,200,11.400867
-1642.805708,200,11.606591
-1419.997168,200,11.803658
-1457.271922,200,12.000126
-1510.210957,200,12.202775
-1176.753837,200,12.873219
-945.179965,200,13.067657
-949.388686,200,13.262833
-1374.846641,200,13.473706
-1609.77987,200,13.692525
-994.730547,200,14.353193
-1377.198719,200,14.549208
-1063.011477,200,14.751258
-1578.912643,200,14.952951
-1530.449156,200,15.146035
-1319.920124,200,15.803474
-1520.418054,200,15.999048
-1250.637918,200,16.20315
-1528.067042,200,16.398667
-1469.474638,200,16.593353
-1052.859263,200,17.250576
-1622.609731,200,17.455406
-1538.075575,200,17.65289
-1389.941631,200,17.848584
-1511.151122,200,18.048738
-1140.364808,200,18.720385
-1504.68053,200,18.917465
-1574.399494,200,19.113521
-1531.342284,200,19.309197
-1491.88729,200,19.513579
-1556.503386,200,20.174629
-1564.019471,200,20.369902
-1587.177489,200,20.564859
-1509.571732,200,20.772722
-1437.908469,200,20.965662
-1645.080148,200,21.622941
-1486.680907,200,21.818352
-1181.068349,200,22.022228
-1530.108364,200,22.217633
-1360.452897,200,22.413232
-1214.258881,200,23.072327
-1558.143474,200,23.276395
-1638.005065,200,23.470573
-1435.478345,200,23.667319
-1241.610853,200,23.865135
-1658.474509,200,24.527792
-1513.647926,200,24.722175
-1570.817938,200,24.917292
-1481.867881,200,25.11363
-1535.523084,200,25.317484
-1611.498794,200,25.971458
-1349.578495,200,26.16691
-1164.444608,200,26.36162
-1514.641777,200,26.565076
-1519.408415,200,26.759826
-1647.628809,200,27.417618
-1528.380638,200,27.617466
-1062.232417,200,27.821326
-1266.713123,200,28.016449
-1478.601902,200,28.211527
-1387.256701,200,28.881027
-1566.705956,200,29.086514
-1232.043025,200,29.283959
-1604.338511,200,29.480803
-1639.304631,200,29.679483
-1398.033282,200,30.351997
-1457.406333,200,30.547181
-1637.331511,200,30.744911
-1617.539526,200,30.938736
-1626.813405,200,31.142033
