#{"t_start": 1734263068.2055004, "env_id": "Pendulum-v1"}
r,l,t
-1686.682281,200,1.099095
-1509.331656,200,1.17138
-970.606867,200,1.244665
-1151.157141,200,1.317875
-881.279365,200,1.39462
-1412.540449,200,1.975468
-1302.07468,200,2.045889
-963.88996,200,2.116482
-1627.302963,200,2.188793
-1074.872091,200,2.259318
-1336.658534,200,2.889091
-869.750488,200,2.960911
-886.607491,200,3.03226
-858.126233,200,3.101637
-1782.300013,200,3.172847
-1775.847826,200,3.825473
-1686.803419,200,3.896422
-1345.218303,200,3.966174
-1280.019508,200,4.035397
-1026.214943,200,4.10473
-914.495956,200,4.800691
-1364.68821,200,4.870869
-1291.788377,200,4.940688
-1677.869142,200,5.010693
-1669.848207,200,5.083377
-1328.982217,200,5.663389
-1298.190036,200,5.732473
-1193.182634,200,5.802477
-1383.307884,200,5.873173
-1838.123382,200,5.942191
-985.973915,200,6.475035
-1444.336072,200,6.544732
-1558.131581,200,6.615904
-897.043467,200,6.684959
-1082.395765,200,6.754337
-1302.689823,200,7.284936
-1376.621122,200,7.355109
-1117.017204,200,7.423811
-1369.098262,200,7.493089
-977.388825,200,7.561967
-1301.443421,200,8.089427
-1532.205891,200,8.15776
-1305.765558,200,8.226129
-930.660896,200,8.294759
-1074.623344,200,8.365621
-1349.423874,200,8.896758
-1271.443471,200,8.965297
-1454.575752,200,9.03408
-1146.296978,200,9.105013
-1698.546122,200,9.173788
-1542.368688,200,10.005154
-1525.757876,200,10.205045
-1510.351207,200,10.415724
-1581.008674,200,10.615499
-1722.856285,200,10.810854
-1599.420177,200,11.576245
-1643.267695,200,11.785511
-1543.280137,200,11.988726
-1579.092269,200,12.199606
-1810.98782,200,12.492809
-1813.819643,200,13.168716
-1564.56855,200,13.365614
-1314.255519,200,13.562432
-1686.671314,200,13.758958
-1827.667469,200,13.963861
-1818.023768,200,14.671751
-1852.775965,200,14.868708
-1763.932368,200,15.067747
-1847.619951,200,15.274532
-1735.001045,200,15.473386
-1867.45914,200,16.180378
-1814.448232,200,16.376333
-1741.991391,200,16.583412
-1687.549259,200,16.779752
-1586.512632,200,16.975708
-1548.384121,200,17.698027
-1559.314652,200,17.901428
-1579.033963,200,18.099509
-1599.40493,200,18.293825
-1561.665405,200,18.489075
-1511.443051,200,19.153234
-1458.181432,200,19.348569
-1374.913631,200,19.543438
-1534.961475,200,19.73837
-1385.195163,200,19.941571
-1466.056292,200,20.598846
-1473.661025,200,20.79563
-1434.978146,200,20.99166
-1403.715344,200,21.196297
-1477.176464,200,21.391267
-1527.598422,200,22.046536
-1413.500908,200,22.241238
-1332.196219,200,22.445281
-1510.353418,200,22.641791
-1377.340534,200,22.839138
-1499.973973,200,23.50682
-1469.673395,200,23.713506
-1496.262556,200,23.912329
-1527.635388,200,24.111282
-1446.265198,200,24.307445
-1495.785193,200,25.028061
-1452.995941,200,25.226071
-1216.0887,200,25.424252
-1479.882103,200,25.621146
-1497.300412,200,25.827399
-1510.1986,200,26.488995
-1545.234701,200,26.688112
-1532.027509,200,26.88497
-1487.196839,200,27.090546
-1484.488687,200,27.287376
-1399.283137,200,27.941691
-1412.105088,200,28.140341
-1471.875363,200,28.343478
-1458.372838,200,28.539765
-1399.587997,200,28.734369
-1520.390974,200,29.390593
-1241.572287,200,29.595261
-1480.577324,200,29.790676
-1092.885757,200,29.986946
-1519.769648,200,30.182896
-1234.364917,200,30.846397
-1410.212642,200,31.04285
-1512.62464,200,31.239434
-1515.064411,200,31.434334
-1522.291518,200,31.638113
