#{"t_start": 1734263103.7711644, "env_id": "Pendulum-v1"}
r,l,t
-914.626618,200,1.08527
-1677.447589,200,1.152177
-1368.633654,200,1.218885
-962.132152,200,1.285411
-1636.135666,200,1.355022
-1283.527791,200,1.942085
-1281.373897,200,2.00786
-907.594794,200,2.075121
-1055.871878,200,2.143093
-911.301144,200,2.209236
-885.287495,200,2.834933
-1041.985619,200,2.903267
-1315.876533,200,2.973404
-958.121094,200,3.042236
-1075.414543,200,3.110834
-863.920643,200,3.806347
-1641.468461,200,3.875748
-1222.03522,200,3.943479
-1004.110939,200,4.011552
-1768.196681,200,4.080625
-1362.428962,200,4.644747
-783.133033,200,4.71403
-1543.884202,200,4.783267
-1298.134518,200,4.853013
-1063.514469,200,4.923303
-1148.818912,200,5.531664
-1638.812511,200,5.600134
-864.12109,200,5.667931
-865.266186,200,5.737973
-1818.417854,200,5.808402
-1552.523012,200,6.358363
-1160.040152,200,6.425088
-1514.714398,200,6.492738
-943.215341,200,6.559208
-1034.932256,200,6.625459
-1289.324138,200,7.169327
-1054.933859,200,7.236728
-1174.55563,200,7.302715
-1322.292271,200,7.368939
-1193.290779,200,7.43498
-1523.324174,200,7.975581
-1170.382347,200,8.041644
-760.591691,200,8.107884
-1700.33942,200,8.174362
-1417.920882,200,8.243621
-1330.199475,200,8.785523
-785.410123,200,8.851845
-1548.060584,200,8.918605
-1323.817057,200,8.98686
-1379.181848,200,9.053178
-1411.646013,200,9.859869
-1165.22876,200,10.048894
-1092.859084,200,10.233854
-1323.032322,200,10.417795
-1360.911209,200,10.600424
-1357.896547,200,11.259116
-1196.862479,200,11.449667
-1445.740611,200,11.635643
-1565.453039,200,11.821647
-1229.64544,200,12.012853
-1414.999428,200,12.810565
-1507.72937,200,13.003566
-1774.857481,200,13.197715
-1702.07985,200,13.428191
-1674.192871,200,13.633498
-1844.516896,200,14.333852
-1655.821582,200,14.528705
-1898.846262,200,14.723709
-1939.439865,200,14.923994
-1804.986587,200,15.120439
-1922.240709,200,15.869348
-1870.843118,200,16.06574
-1882.015976,200,16.270502
-1705.618847,200,16.46515
-1683.690053,200,16.661023
-1749.824527,200,17.453557
-1629.988058,200,17.654159
-1673.811483,200,17.847746
-1785.081847,200,18.042232
-1530.060744,200,18.236875
-1728.161285,200,18.996737
-1748.186733,200,19.191158
-1856.268347,200,19.385541
-1725.776829,200,19.580878
-1824.963888,200,19.781191
-1771.10268,200,20.637062
-1787.639723,200,20.829931
-1739.319915,200,21.025536
-1879.534573,200,21.231212
-1445.978439,200,21.426007
-1749.980162,200,22.158323
-1812.03014,200,22.350984
-1641.513306,200,22.550202
-1461.804546,200,22.744732
-1755.452095,200,22.940035
-1646.373471,200,23.643299
-1613.747234,200,23.845342
-1656.157943,200,24.039735
-1577.820975,200,24.234816
-1792.599166,200,24.429416
-1665.799501,200,25.219404
-1498.126961,200,25.404831
-1719.662085,200,25.590806
-1673.193022,200,25.787147
-1691.757337,200,25.991826
-1656.497066,200,26.729877
-1568.720901,200,26.923552
-1535.507954,200,27.118904
-1409.922587,200,27.319266
-1468.29039,200,27.514592
-1579.643744,200,28.222813
-1410.011494,200,28.414225
-1373.367369,200,28.617258
-1510.192276,200,28.808056
-1340.42342,200,29.001354
-1436.330314,200,29.672391
-1201.27264,200,29.869865
-1343.017225,200,30.061408
-1324.712227,200,30.253707
-1310.800919,200,30.445879
-1262.882655,200,31.119993
-1068.876392,200,31.30962
-1037.717136,200,31.497696
-1015.840721,200,31.687216
-1207.314152,200,31.876956
