,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
30,30,-1250.2948084000002,2024-12-11 12:53:55.213731,2024-12-11 13:09:45.626825,0 days 00:15:50.413094,2048,100000,0.98,5.195532323836432e-05,20000,0.5646978583986503,big,0.05,256,PRUNED
31,31,-209.8291814,2024-12-11 13:09:45.627084,2024-12-11 13:59:06.256000,0 days 00:49:20.628916,2048,10000,0.98,0.0005267858408097092,10000,0.5754165891371887,big,0.005,512,PRUNED
32,32,-200.1009688,2024-12-11 13:59:06.256258,2024-12-11 14:03:38.852835,0 days 00:04:32.596577,16,100000,0.98,0.0021930599073765795,10000,-0.7587385587947528,big,0.005,128,COMPLETE
33,33,-197.4871368,2024-12-11 14:03:38.853476,2024-12-11 15:03:05.186000,0 days 00:59:26.332524,2048,100000,0.98,0.0005815018949165667,10000,-1.1530923299080311,big,0.08,512,COMPLETE
34,34,-199.7138726,2024-12-11 15:03:05.186703,2024-12-11 15:11:59.078093,0 days 00:08:53.891390,2048,100000,0.98,0.0012819973055063069,1000,-0.3098210791495445,small,0.01,256,COMPLETE
35,35,-226.9418044,2024-12-11 15:11:59.078657,2024-12-11 15:17:52.894893,0 days 00:05:53.816236,64,100000,0.98,0.00014242417712458046,10000,-1.1887004955166183,big,0.001,512,PRUNED
36,36,-210.248239,2024-12-11 15:17:52.895150,2024-12-11 15:26:39.647579,0 days 00:08:46.752429,2048,100000,0.98,0.002093143094213713,0,-2.3259142864561984,small,0.08,512,PRUNED
37,37,-197.94846959999998,2024-12-11 15:26:39.647824,2024-12-11 16:15:27.663526,0 days 00:48:48.015702,2048,100000,0.98,0.00015829079855318447,10000,-1.380434997956153,big,0.08,8,COMPLETE
38,38,-203.0086918,2024-12-11 16:15:27.664235,2024-12-11 16:20:27.282291,0 days 00:04:59.618056,32,100000,0.98,0.005573646370852084,10000,-1.0351123751592346,big,0.08,16,PRUNED
39,39,-210.3160006,2024-12-11 16:20:27.282556,2024-12-11 16:24:07.485963,0 days 00:03:40.203407,64,100000,0.98,0.002492473488289927,1000,0.5614871017249868,small,0.005,512,PRUNED
40,40,-205.0444724,2024-12-11 16:24:07.486203,2024-12-11 16:27:27.305060,0 days 00:03:19.818857,256,100000,0.98,0.000277650961777873,20000,-3.0174609164123773,big,0.05,16,PRUNED
41,41,-194.78790120000002,2024-12-11 16:27:27.305337,2024-12-11 17:48:41.661069,0 days 01:21:14.355732,2048,100000,0.98,0.0076741155152266665,1000,0.20204202497002022,big,0.005,256,COMPLETE
42,42,-196.49839060000002,2024-12-11 17:48:41.661771,2024-12-11 19:08:24.073132,0 days 01:19:42.411361,2048,100000,0.98,0.00257696286804088,1000,0.48616088087927234,big,0.08,16,COMPLETE
43,43,-197.320829,2024-12-11 19:08:24.073833,2024-12-11 20:28:55.440413,0 days 01:20:31.366580,2048,100000,0.98,0.0009894288746497028,1000,0.8910366395854589,big,0.005,64,COMPLETE
44,44,-203.4548868,2024-12-11 20:28:55.441104,2024-12-11 20:37:43.120888,0 days 00:08:47.679784,64,1000000,0.98,0.003139522115662888,1000,0.19051347967785842,big,0.08,16,PRUNED
45,45,-199.02825360000003,2024-12-11 20:37:43.121148,2024-12-11 22:02:02.800979,0 days 01:24:19.679831,2048,100000,0.98,0.002159510587670641,0,-0.19628045168786767,big,0.02,16,COMPLETE
46,46,-195.7877546,2024-12-11 22:02:02.801743,2024-12-11 23:23:42.588611,0 days 01:21:39.786868,2048,100000,0.98,0.016119874897091855,1000,0.266530169236617,big,0.08,256,COMPLETE
47,47,-211.91145820000003,2024-12-11 23:23:42.589316,2024-12-11 23:32:04.052843,0 days 00:08:21.463527,16,100000,0.98,0.00918091936511538,0,0.7594481518040582,big,0.08,256,PRUNED
48,48,-202.56893359999998,2024-12-11 23:32:04.053097,2024-12-11 23:47:21.627742,0 days 00:15:17.574645,512,100000,0.98,0.018460175000489645,1000,-0.23698944867963712,medium,0.08,16,PRUNED
49,49,,2024-12-11 23:47:21.628007,2024-12-11 23:47:36.226219,0 days 00:00:14.598212,1024,100000,0.98,0.3758005869181941,1000,-0.7424623228857373,big,0.08,256,PRUNED
