#{"t_start": 1734263592.1747904, "env_id": "Pendulum-v1"}
r,l,t
-804.774686,200,2.853415
-1204.805069,200,5.991056
-1610.77729,200,9.101088
-1518.222154,200,12.115096
-1799.844991,200,15.138301
-1500.466794,200,18.835169
-1660.87986,200,21.836068
-1329.196613,200,24.964151
-1658.371084,200,28.103056
-1437.003181,200,31.101502
-1165.779943,200,34.986813
-991.666963,200,38.070312
-634.095207,200,41.028578
-643.711169,200,44.074112
-380.056881,200,47.01595
-1047.563639,200,51.203864
-2.032497,200,54.303139
-251.500208,200,57.410165
-1.452312,200,60.506147
-125.171731,200,63.612298
-261.018671,200,67.457658
-125.706528,200,70.479346
-125.013702,200,73.471972
-120.736482,200,76.525192
-4.583055,200,79.485866
-125.738213,200,83.135877
-244.570155,200,86.143184
-127.442791,200,89.083961
-242.714711,200,92.083632
-312.097588,200,95.145848
-1.542156,200,98.871433
-121.231558,200,101.946254
-121.351004,200,104.991232
-256.589933,200,107.88265
-125.262638,200,110.85088
-234.834691,200,114.568387
-1059.840657,200,117.632221
-251.285535,200,120.582976
-248.30906,200,123.616079
-122.018924,200,126.570915
-237.902354,200,130.406389
-1.302537,200,133.359416
-245.991951,200,136.410712
-124.933186,200,139.482934
-233.76796,200,142.417538
-341.501248,200,146.024514
-358.092155,200,149.066415
-118.662083,200,151.523616
-258.489864,200,153.631685
-231.182223,200,155.752005
-123.346703,200,159.375668
-232.613181,200,162.46143
-113.935066,200,165.428575
-117.662002,200,168.492891
-114.810943,200,171.468312
-120.259719,200,175.219201
-124.333688,200,178.364054
-125.138111,200,181.165017
-230.297089,200,183.309338
-119.035431,200,185.41094
-120.184641,200,188.361091
-239.680013,200,190.465715
-116.220398,200,192.58038
-122.779906,200,194.691345
-225.173206,200,196.79233
-118.224483,200,199.589125
-240.630701,200,202.197974
-243.682867,200,205.233935
-237.869058,200,208.329362
-126.764822,200,211.458419
-239.704442,200,215.262565
-122.855591,200,218.48658
-117.258385,200,221.458225
-240.728986,200,224.685624
-249.107179,200,227.824576
-3.078003,200,231.605046
-375.900043,200,234.747249
-120.937082,200,237.945169
-119.459769,200,241.027406
-127.946136,200,244.177872
-222.100305,200,247.936543
-125.163039,200,251.027922
-1.021044,200,254.016771
-1.85298,200,257.042742
-118.919797,200,260.021848
-114.847206,200,263.810407
-243.211638,200,265.932133
-225.516745,200,268.051359
-117.187139,200,270.184958
-123.156067,200,272.298125
-124.233864,200,275.109655
-122.714395,200,277.250237
-123.10027,200,279.374965
-236.258414,200,281.513834
-121.499727,200,283.634603
-1.180512,200,286.423733
-126.368011,200,288.565511
-2.02245,200,290.684794
-119.846982,200,292.807763
-123.520915,200,294.952429
-1.491253,200,297.748045
-115.2064,200,299.916543
-239.492306,200,302.107525
-125.038446,200,304.270922
-117.766473,200,306.42276
-240.947742,200,309.25785
-126.395105,200,311.391179
-126.494648,200,313.548161
-6.581404,200,315.696131
-125.325419,200,317.830709
-117.255225,200,320.659738
-126.960419,200,322.800249
-116.925198,200,324.938955
-235.132988,200,327.093853
-129.894918,200,329.234118
-5.861449,200,332.046268
-129.128985,200,334.309182
-130.705414,200,337.409809
-248.761729,200,340.435396
-130.826668,200,343.593503
-236.792427,200,347.344248
-126.844059,200,350.460951
-240.535802,200,353.452014
-9.989862,200,356.730199
-123.364458,200,359.719565
