#{"t_start": 1734264311.5785751, "env_id": "Pendulum-v1"}
r,l,t
-1309.264441,200,1.091149
-868.116616,200,1.161333
-986.804682,200,1.228241
-1199.365566,200,1.295102
-958.474949,200,1.364498
-998.175256,200,1.957081
-1639.831722,200,2.022627
-1695.071724,200,2.090054
-1159.201674,200,2.160669
-1261.830149,200,2.226982
-1027.952089,200,2.811319
-1614.734287,200,2.878075
-1069.695651,200,2.946947
-963.032579,200,3.013912
-1613.459344,200,3.081391
-910.671183,200,3.641325
-1070.226644,200,3.713416
-1790.199263,200,3.781007
-1183.433125,200,3.847649
-896.479229,200,3.914351
-1054.109187,200,4.462297
-907.877662,200,4.528153
-758.500598,200,4.593669
-1245.559251,200,4.659154
-1192.744539,200,4.725921
-891.612962,200,5.267357
-1212.652147,200,5.334948
-1197.987283,200,5.400092
-1132.776805,200,5.469652
-1571.288412,200,5.535011
-1072.545053,200,6.082686
-975.13868,200,6.148098
-1026.159211,200,6.215669
-868.108933,200,6.281205
-880.007883,200,6.346827
-1030.800015,200,6.885872
-1325.805053,200,6.95329
-982.427517,200,7.01903
-865.128701,200,7.084727
-1128.192794,200,7.149994
-1553.421308,200,7.689776
-1191.607713,200,7.755024
-1404.687009,200,7.821064
-890.224802,200,7.886809
-1362.334237,200,7.954697
-1125.607822,200,8.493582
-1591.049815,200,8.559185
-1333.650361,200,8.625006
-1177.566546,200,8.692224
-1178.008122,200,8.757519
-1713.568567,200,9.569752
-967.184475,200,9.756235
-1659.352529,200,9.916883
-862.001623,200,10.084093
-1059.977812,200,10.240533
-1462.450311,200,10.958809
-866.211629,200,11.127604
-1706.857356,200,11.28887
-1594.97074,200,11.454718
-1234.655723,200,11.612184
-985.694549,200,12.374556
-1268.305796,200,12.53483
-1315.955396,200,12.701875
-1881.855742,200,12.858034
-1590.20715,200,13.02697
-855.153203,200,13.713334
-1067.771799,200,13.876996
-1672.666654,200,14.043501
-1063.292415,200,14.204276
-1548.31747,200,14.369741
-1470.734641,200,15.101947
-1570.371325,200,15.268536
-1836.720847,200,15.437697
-962.777234,200,15.625073
-960.055653,200,15.791959
-1332.954681,200,16.446938
-1174.156625,200,16.616162
-1169.104604,200,16.771902
-1862.171969,200,16.936515
-1071.948051,200,17.097209
-1836.695923,200,17.8659
-1793.012228,200,18.031493
-1395.784397,200,18.188271
-1763.277634,200,18.358384
-1140.643036,200,18.523432
-1156.706551,200,19.221981
-1335.648985,200,19.381134
-1118.844709,200,19.547903
-1204.710716,200,19.717002
-1434.953015,200,19.877516
-1132.11932,200,20.518032
-1733.883294,200,20.672484
-1611.864625,200,20.836655
-1268.370642,200,20.994754
-1301.115979,200,21.158104
-1791.94562,200,21.78763
-1333.832585,200,21.952496
-991.215069,200,22.115805
-1118.100898,200,22.274028
-1223.806192,200,22.436961
-1294.667637,200,23.066155
-1375.572313,200,23.228936
-1372.845557,200,23.387967
-1641.604405,200,23.550623
-1738.227724,200,23.715258
-1691.238092,200,24.342011
-1606.282039,200,24.505217
-1061.025246,200,24.663877
-1289.824761,200,24.830295
-1300.369341,200,24.984004
-1352.141223,200,25.707435
-1111.269113,200,25.868737
-1642.687442,200,26.037084
-1351.712117,200,26.203222
-1812.535577,200,26.361412
-1404.442221,200,27.101298
-1468.384006,200,27.26605
-1495.150699,200,27.432687
-1580.413749,200,27.589477
-1468.830748,200,27.753895
-1203.528438,200,28.411691
-1199.236534,200,28.572827
-1227.608696,200,28.740154
-1371.01166,200,28.89668
-1471.325947,200,29.064371
