#{"t_start": 1734272769.4744282, "env_id": "Pendulum-v1"}
r,l,t
-1555.577579,200,1.086464
-1168.560682,200,1.154783
-1307.544413,200,1.223213
-934.948204,200,1.292081
-1076.291412,200,1.362197
-1151.466442,200,1.933776
-1496.435302,200,2.001646
-1701.153395,200,2.069353
-1427.654262,200,2.14036
-1682.06177,200,2.208902
-912.114882,200,2.735398
-1143.708604,200,2.803071
-863.538065,200,2.875313
-1165.62569,200,2.944109
-1193.778641,200,3.011912
-762.14815,200,3.546038
-1293.170881,200,3.61569
-1563.29614,200,3.684323
-1342.03177,200,3.752182
-1439.986904,200,3.820564
-1487.501729,200,4.357146
-1429.696109,200,4.425433
-1692.21156,200,4.493753
-1511.273586,200,4.561574
-1495.566587,200,4.631098
-1308.372298,200,5.165695
-1088.494977,200,5.234134
-1160.522053,200,5.302016
-858.253306,200,5.372072
-856.046273,200,5.440071
-1786.672214,200,5.969434
-1256.277955,200,6.037411
-1049.718146,200,6.107616
-1163.645934,200,6.176032
-962.788792,200,6.243901
-1728.933345,200,6.769906
-1075.701504,200,6.839829
-1408.141764,200,6.908094
-1012.880963,200,6.976445
-1614.919642,200,7.04487
-1007.738204,200,7.5763
-1181.685236,200,7.644289
-1045.113535,200,7.712402
-1066.524207,200,7.780627
-1354.090522,200,7.850901
-1094.723533,200,8.379362
-1734.324744,200,8.448129
-865.556874,200,8.517006
-1365.938605,200,8.587987
-1395.241362,200,8.656843
-1432.550687,200,9.438381
-1496.983225,200,9.600689
-948.273625,200,9.760835
-1506.562008,200,9.926152
-1492.95621,200,10.083293
-1481.622021,200,10.706267
-1512.306778,200,10.870142
-1284.432494,200,11.024484
-1498.814676,200,11.186434
-1521.264732,200,11.344951
-1506.400821,200,11.971529
-1520.037001,200,12.129772
-1511.744981,200,12.294744
-1642.376378,200,12.451876
-1648.745913,200,12.618773
-1652.251467,200,13.242788
-1647.791903,200,13.400169
-1529.751351,200,13.565149
-1567.385867,200,13.723866
-1516.340896,200,13.889119
-1548.863394,200,14.567087
-1661.136004,200,14.732539
-1518.844138,200,14.898562
-1617.017822,200,15.055691
-1518.29903,200,15.221073
-1524.458678,200,15.837698
-1496.35117,200,16.005214
-1563.429639,200,16.162764
-1564.880433,200,16.328483
-1547.082938,200,16.486027
-1576.55342,200,17.111478
-1515.670737,200,17.276891
-1627.922402,200,17.438809
-1606.033446,200,17.604263
-1516.710554,200,17.763992
-1515.344297,200,18.386032
-1657.221662,200,18.543671
-976.464591,200,18.708834
-1516.049519,200,18.875601
-1607.865565,200,19.032778
-1507.378346,200,19.655611
-1601.483359,200,19.816
-1289.401317,200,19.988598
-1559.769856,200,20.148427
-1520.980159,200,20.315011
-1256.663338,200,20.928469
-1055.972242,200,21.094649
-1513.760445,200,21.259907
-1609.956463,200,21.41976
-1580.214548,200,21.58573
-1520.941883,200,22.205149
-1514.414239,200,22.370073
-1487.72828,200,22.527988
-1609.461064,200,22.69354
-1497.684817,200,22.864792
-1510.127797,200,23.495529
-1629.287798,200,23.661008
-1522.128429,200,23.819956
-1511.062342,200,23.987131
-1510.785081,200,24.145375
-1513.532785,200,24.768462
-1649.745581,200,24.9272
-1579.653411,200,25.094643
-1537.146891,200,25.260995
-1571.799406,200,25.420155
-1621.547971,200,26.049065
-1570.190859,200,26.209232
-1038.650953,200,26.37645
-1458.887171,200,26.533822
-1520.795874,200,26.699321
-1512.217577,200,27.325645
-1317.226628,200,27.483405
-1531.055855,200,27.648685
-1351.814281,200,27.805849
-1513.241447,200,27.972842
