#{"t_start": 1734272602.0712879, "env_id": "Pendulum-v1"}
r,l,t
-1309.756546,200,1.085721
-841.316772,200,1.155479
-1072.108998,200,1.225906
-1001.674986,200,1.296153
-1475.458985,200,1.368421
-1786.449919,200,1.93973
-1068.439698,200,2.009561
-1437.508929,200,2.079647
-1068.789248,200,2.152323
-1481.641136,200,2.221979
-1432.814547,200,2.753
-1707.581336,200,2.822972
-1001.488603,200,2.894538
-1614.488591,200,2.964345
-1477.821033,200,3.034285
-1184.106113,200,3.565719
-1204.614622,200,3.637204
-1783.062486,200,3.707566
-1162.308038,200,3.777791
-998.59432,200,3.847855
-1404.203148,200,4.38459
-1330.251523,200,4.455495
-1437.387986,200,4.525645
-928.002853,200,4.596197
-1726.617349,200,4.667633
-1557.287026,200,5.19754
-1130.884016,200,5.267943
-1505.293419,200,5.338619
-1198.884131,200,5.410194
-860.162421,200,5.480331
-1517.340572,200,6.012043
-1454.636089,200,6.082447
-1306.308088,200,6.153958
-1685.142267,200,6.224067
-1423.558524,200,6.294073
-1366.042063,200,6.825564
-1252.427881,200,6.897683
-1275.965957,200,6.967721
-1074.350588,200,7.037727
-1716.562573,200,7.107856
-761.575039,200,7.6391
-1332.223353,200,7.708943
-1442.882378,200,7.779003
-1755.127513,200,7.848914
-960.536185,200,7.920752
-1734.940094,200,8.450856
-1475.335127,200,8.520811
-1182.097217,200,8.59122
-1179.285109,200,8.663237
-1756.287458,200,8.733544
-1056.547327,200,9.689399
-1584.945958,200,10.022713
-1517.943878,200,10.357596
-1654.41163,200,10.691323
-1521.137973,200,11.024925
-1609.874196,200,11.817507
-1234.197437,200,12.151833
-1650.929714,200,12.483425
-1058.339128,200,12.815643
-933.347369,200,13.1464
-1377.93362,200,13.938637
-1511.038913,200,14.269656
-1520.609755,200,14.603911
-1197.409654,200,14.934699
-1516.16748,200,15.265439
-1577.252775,200,16.020729
-1531.010756,200,16.313769
-1504.37321,200,16.609403
-1623.577121,200,16.903051
-949.508942,200,17.195862
-1181.027069,200,17.950124
-1512.273577,200,18.24474
-1415.695018,200,18.540185
-1651.429131,200,18.835233
-1500.354107,200,19.129399
-954.30342,200,19.920209
-1530.333803,200,20.22955
-1058.965818,200,20.523288
-1505.573259,200,20.819491
-1640.450182,200,21.116374
-945.675673,200,21.877307
-1377.243511,200,22.171261
-1436.354776,200,22.46635
-1008.509463,200,22.760236
-1611.408967,200,23.056335
-1495.423246,200,23.823353
-1567.943232,200,24.156249
-1645.217657,200,24.467246
-1339.216708,200,24.771601
-1286.122793,200,25.105587
-1512.995156,200,25.87566
-1169.733925,200,26.208801
-1523.314651,200,26.510363
-1662.012611,200,26.817069
-1627.894358,200,27.150053
-1603.80576,200,27.904337
-1515.014024,200,28.201479
-1597.326781,200,28.498695
-1516.062266,200,28.793569
-1577.010001,200,29.08876
-1604.387994,200,29.853732
-1546.262178,200,30.14859
-1390.852202,200,30.445502
-1512.317424,200,30.740619
-1528.912431,200,31.037526
-1325.987689,200,31.826648
-1594.830117,200,32.160383
-1631.844506,200,32.489459
-1200.204168,200,32.789176
-1628.858863,200,33.084097
-1598.384736,200,33.840569
-1196.232043,200,34.135565
-1626.077648,200,34.434101
-1370.133856,200,34.748279
-1472.769715,200,35.080112
-1284.793248,200,35.910442
-1423.752761,200,36.211865
-1516.596509,200,36.508042
-1267.073849,200,36.835656
-1534.192893,200,37.171272
-1187.454421,200,38.134475
-1157.010918,200,38.43698
-1641.257184,200,38.737886
-1461.244055,200,39.037725
-1184.187459,200,39.363135
