,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
28,28,-145.9078062,2024-12-10 22:29:54.304721,2024-12-10 22:32:17.072890,0 days 00:02:22.768169,64,1000000,0.98,0.00035350405469650127,medium,0.16233182719768016,normal,0.02,16,COMPLETE
29,29,-283.876818,2024-12-10 22:32:17.074296,2024-12-10 22:35:05.455061,0 days 00:02:48.380765,16,100000,0.98,0.0023640813113728243,medium,0.07124159666597328,normal,0.001,16,PRUNED
30,30,-149.9825452,2024-12-10 22:35:05.455331,2024-12-10 22:37:39.465379,0 days 00:02:34.010048,128,100000,0.98,5.1132152284264406e-05,medium,0.1450873392553213,normal,0.01,16,PRUNED
31,31,-149.4485292,2024-12-10 22:37:39.465637,2024-12-10 22:40:40.090451,0 days 00:03:00.624814,100,1000000,0.98,0.001530694916438224,medium,0.1384058660868691,normal,0.02,16,PRUNED
32,32,-144.3223702,2024-12-10 22:40:40.090700,2024-12-10 22:42:54.840841,0 days 00:02:14.750141,64,1000000,0.98,0.0002322992095547826,medium,0.2153136644839655,,0.02,256,COMPLETE
33,33,-148.674034,2024-12-10 22:42:54.841344,2024-12-10 22:45:29.696210,0 days 00:02:34.854866,128,1000000,0.98,6.082577881633441e-05,medium,0.044978222914064475,,0.02,256,PRUNED
34,34,-148.1022932,2024-12-10 22:45:29.696478,2024-12-10 22:48:08.031039,0 days 00:02:38.334561,16,1000000,0.98,0.0012179621125883654,medium,0.8385963760274329,normal,0.005,4,PRUNED
35,35,-145.2144814,2024-12-10 22:48:08.031299,2024-12-10 22:50:35.604648,0 days 00:02:27.573349,64,1000000,0.98,0.00041676806862781397,medium,0.3907392922843124,,0.005,256,COMPLETE
36,36,-145.25399880000003,2024-12-10 22:50:35.605163,2024-12-10 22:53:33.678415,0 days 00:02:58.073252,64,1000000,0.98,0.0001999493710222342,big,0.3831707899317143,,0.02,128,COMPLETE
37,37,-832.3959058,2024-12-10 22:53:33.678945,2024-12-10 22:55:35.306618,0 days 00:02:01.627673,64,10000,0.98,4.816706538522428e-05,medium,0.4202188084468529,,0.005,256,PRUNED
38,38,-145.7545506,2024-12-10 22:55:35.306875,2024-12-10 22:58:54.019307,0 days 00:03:18.712432,64,1000000,0.98,0.0008623910387976544,big,0.48913939354411085,,0.02,128,COMPLETE
39,39,-146.80557059999998,2024-12-10 22:58:54.019849,2024-12-10 23:08:52.676120,0 days 00:09:58.656271,1024,1000000,0.98,0.00028626512434535596,medium,0.42362161200056536,,0.005,32,COMPLETE
40,40,-904.7172228,2024-12-10 23:08:52.676831,2024-12-10 23:10:56.756570,0 days 00:02:04.079739,64,1000000,0.98,2.815505125121848e-05,medium,0.27342998678660546,ornstein-uhlenbeck,0.08,256,PRUNED
41,41,-154.6116724,2024-12-10 23:10:56.756822,2024-12-10 23:12:18.238078,0 days 00:01:21.481256,64,1000000,0.98,0.0025315620171825963,small,0.08581830680184277,,0.005,256,PRUNED
42,42,-764.9082037999999,2024-12-10 23:12:18.238314,2024-12-10 23:14:11.696896,0 days 00:01:53.458582,32,10000,0.98,4.520140005390185e-05,medium,0.812814035550155,ornstein-uhlenbeck,0.005,128,PRUNED
43,43,-397.6479064,2024-12-10 23:14:11.697154,2024-12-10 23:17:33.917718,0 days 00:03:22.220564,100,100000,0.98,5.618201345108144e-05,big,0.4004442049555239,,0.02,256,PRUNED
44,44,-147.7944628,2024-12-10 23:17:33.917986,2024-12-10 23:36:52.402839,0 days 00:19:18.484853,2048,1000000,0.98,4.200826972516007e-05,medium,0.12080217791944414,normal,0.01,16,PRUNED
45,45,-145.184712,2024-12-10 23:36:52.403121,2024-12-10 23:39:57.689518,0 days 00:03:05.286397,64,10000,0.98,0.0003048137347867959,big,0.9342208463281,ornstein-uhlenbeck,0.005,4,COMPLETE
46,46,-150.0141338,2024-12-10 23:39:57.690022,2024-12-10 23:43:31.180311,0 days 00:03:33.490289,64,10000,0.98,0.003517354336825604,big,0.9809708596177072,ornstein-uhlenbeck,0.005,4,PRUNED
47,47,-145.25361600000002,2024-12-10 23:43:31.180603,2024-12-10 23:46:06.841202,0 days 00:02:35.660599,64,1000000,0.98,0.0007665594722903093,medium,0.4288842680903374,,0.02,256,COMPLETE
48,48,-149.57727960000003,2024-12-10 23:46:06.841706,2024-12-11 00:05:42.628146,0 days 00:19:35.786440,2048,1000000,0.98,0.0015098557412544225,medium,0.6059193315750885,,0.02,256,PRUNED
49,49,-146.2757542,2024-12-11 00:05:42.628437,2024-12-11 00:08:14.637555,0 days 00:02:32.009118,32,10000,0.98,0.00016835617115426943,big,0.7465280577009181,ornstein-uhlenbeck,0.01,4,COMPLETE
