,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
0,0,-1138.7200094,2024-12-10 18:02:33.256348,2024-12-10 18:02:34.349971,0 days 00:00:01.093623,256,1000000,0.95,0.0013280975060843657,big,0.1636538633386071,normal,0.02,16,COMPLETE
1,1,-1246.9836442,2024-12-10 18:02:34.350732,2024-12-10 18:02:34.700607,0 days 00:00:00.349875,512,10000,0.999,0.02784951031048245,big,0.83741046073202,,0.08,256,COMPLETE
2,2,-1363.7079566,2024-12-10 18:02:34.701232,2024-12-10 18:02:34.996617,0 days 00:00:00.295385,100,100000,0.999,0.000844915103000532,small,0.7531947937809377,ornstein-uhlenbeck,0.005,1,COMPLETE
3,3,-1194.7664264,2024-12-10 18:02:34.997003,2024-12-10 18:02:35.312886,0 days 00:00:00.315883,32,100000,0.995,0.2638275408052747,medium,0.8215644557298318,,0.001,16,COMPLETE
4,4,-1065.7043092,2024-12-10 18:02:35.313287,2024-12-10 18:02:35.616445,0 days 00:00:00.303158,64,10000,0.99,0.0068364504274127285,small,0.21965293606313607,ornstein-uhlenbeck,0.08,128,COMPLETE
5,5,-1399.0932696,2024-12-10 18:02:35.616807,2024-12-10 18:02:35.967885,0 days 00:00:00.351078,32,1000000,0.95,0.0002121549928860982,medium,0.24808328532374746,normal,0.08,4,COMPLETE
6,6,-1070.4065838000001,2024-12-10 18:02:35.968279,2024-12-10 18:02:36.257176,0 days 00:00:00.288897,64,1000000,0.995,0.0003082312679135709,small,0.3981285950869239,,0.02,16,COMPLETE
7,7,-1141.0162476,2024-12-10 18:02:36.257548,2024-12-10 18:02:36.590042,0 days 00:00:00.332494,1024,10000,0.95,0.2501099957703246,big,0.778384863510237,,0.005,16,COMPLETE
8,8,-1291.7305594,2024-12-10 18:02:36.590419,2024-12-10 18:02:37.163855,0 days 00:00:00.573436,16,1000000,0.99,0.542220212925972,small,0.9461175706508843,ornstein-uhlenbeck,0.05,512,COMPLETE
9,9,-1299.396329,2024-12-10 18:02:37.164237,2024-12-10 18:02:37.451662,0 days 00:00:00.287425,100,1000000,0.95,0.0032150041976965592,small,0.2924294998573699,normal,0.005,16,COMPLETE
10,10,-1096.6776144,2024-12-10 18:02:37.452031,2024-12-10 18:02:37.767221,0 days 00:00:00.315190,64,10000,0.99,0.09929662095185464,small,0.04467474499488605,normal,0.001,128,COMPLETE
11,11,-1174.2095496,2024-12-10 18:02:37.767695,2024-12-10 18:02:38.103243,0 days 00:00:00.335548,32,1000000,0.995,0.0003627466922846055,small,0.08330245240742684,,0.02,16,PRUNED
12,12,-1129.9634274,2024-12-10 18:02:38.103524,2024-12-10 18:02:38.404127,0 days 00:00:00.300603,512,10000,0.95,0.005647215956519533,small,0.09193802640651577,ornstein-uhlenbeck,0.08,128,COMPLETE
13,13,-1243.7090798,2024-12-10 18:02:38.404494,2024-12-10 18:02:38.745697,0 days 00:00:00.341203,64,10000,0.99,0.8204214187325546,medium,0.3201162456757862,ornstein-uhlenbeck,0.08,16,PRUNED
14,14,-1118.2387666,2024-12-10 18:02:38.745994,2024-12-10 18:02:39.049171,0 days 00:00:00.303177,64,1000000,0.995,8.81114198728938e-05,small,0.5686680994554254,ornstein-uhlenbeck,0.02,16,COMPLETE
15,15,-1372.9030588,2024-12-10 18:02:39.049513,2024-12-10 18:02:39.358215,0 days 00:00:00.308702,2048,100000,0.995,0.0009725113551973125,small,0.46146804812277564,,0.08,512,PRUNED
16,16,-961.8890670000001,2024-12-10 18:02:39.358493,2024-12-10 18:02:39.648800,0 days 00:00:00.290307,64,100000,0.99,0.0006708876479815454,small,0.26515088389305336,ornstein-uhlenbeck,0.08,32,COMPLETE
17,17,-1179.476328,2024-12-10 18:02:39.649228,2024-12-10 18:02:39.945559,0 days 00:00:00.296331,64,100000,0.99,9.782544222312579e-05,small,0.12159909080763076,ornstein-uhlenbeck,0.01,512,PRUNED
18,18,-1121.0325716,2024-12-10 18:02:39.945830,2024-12-10 18:02:40.282721,0 days 00:00:00.336891,2048,100000,0.999,0.00039599114060373915,medium,0.2745980666709891,ornstein-uhlenbeck,0.02,32,COMPLETE
19,19,-1195.1606154,2024-12-10 18:02:40.283461,2024-12-10 18:02:40.583689,0 days 00:00:00.300228,64,100000,0.99,0.005147335358350447,small,0.49635337548720326,ornstein-uhlenbeck,0.005,32,PRUNED
20,20,-1175.36014,2024-12-10 18:02:40.583999,2024-12-10 18:02:40.914378,0 days 00:00:00.330379,1024,100000,0.99,9.279923144064877e-05,big,0.21975790094932277,ornstein-uhlenbeck,0.08,32,PRUNED
21,21,-1277.3884103999999,2024-12-10 18:02:40.914662,2024-12-10 18:02:41.214558,0 days 00:00:00.299896,64,10000,0.99,0.019976046233634408,small,0.330709167896175,,0.08,4,PRUNED
22,22,-1162.058112,2024-12-10 18:02:41.214810,2024-12-10 18:02:41.508826,0 days 00:00:00.294016,64,1000000,0.995,0.000810633386623471,small,0.39413812544436594,,0.001,4,PRUNED
23,23,-1276.7253779999999,2024-12-10 18:02:41.509112,2024-12-10 18:02:41.815291,0 days 00:00:00.306179,64,10000,0.99,0.0070774669933813955,small,0.04364252949516023,ornstein-uhlenbeck,0.08,32,PRUNED
24,24,-1074.0376866000001,2024-12-10 18:02:41.815563,2024-12-10 18:02:42.241650,0 days 00:00:00.426087,512,100000,0.99,0.0015894687839873422,medium,0.28878169757990274,ornstein-uhlenbeck,0.08,16,COMPLETE
25,25,-1460.8348241999997,2024-12-10 18:02:42.242059,2024-12-10 18:02:42.539288,0 days 00:00:00.297229,64,100000,0.999,0.002070570413736856,small,0.3697997743757924,ornstein-uhlenbeck,0.08,256,PRUNED
26,26,-1186.7314812,2024-12-10 18:02:42.539536,2024-12-10 18:02:42.826186,0 days 00:00:00.286650,64,1000000,0.99,0.041273263530968864,small,0.3577707909850826,ornstein-uhlenbeck,0.01,128,PRUNED
27,27,-1070.6585266,2024-12-10 18:02:42.826490,2024-12-10 18:02:43.174191,0 days 00:00:00.347701,64,1000000,0.999,0.0005425367973881971,medium,0.4181347529542189,,0.005,16,COMPLETE
28,28,-1254.6433714,2024-12-10 18:02:43.174578,2024-12-10 18:02:43.509394,0 days 00:00:00.334816,256,10000,0.995,3.216106081181277e-05,small,0.5154525356239835,,0.05,16,PRUNED
29,29,-991.040452,2024-12-10 18:02:43.509655,2024-12-10 18:02:43.831203,0 days 00:00:00.321548,64,10000,0.95,0.0077851802874998885,small,0.36528998618976816,,0.02,16,COMPLETE
30,30,-1194.2062019999998,2024-12-10 18:02:43.831714,2024-12-10 18:02:44.168649,0 days 00:00:00.336935,256,10000,0.95,0.0006036979571141159,medium,0.27790941654150314,,0.02,512,PRUNED
31,31,-1290.2054406000002,2024-12-10 18:02:44.168951,2024-12-10 18:02:44.469626,0 days 00:00:00.300675,64,10000,0.95,0.0024133767494715097,small,0.35151224962125543,normal,0.02,16,PRUNED
