#{"t_start": 1734261807.4641144, "env_id": "Pendulum-v1"}
r,l,t
-1172.523089,200,1.091694
-874.17005,200,1.162269
-1675.134649,200,1.233204
-869.341483,200,1.303841
-1172.966792,200,1.376845
-1564.851618,200,1.947185
-1621.564552,200,2.016486
-1271.371384,200,2.08593
-1514.891021,200,2.157719
-1357.030188,200,2.227203
-1141.195959,200,2.75412
-1459.553008,200,2.823483
-1372.765807,200,2.894405
-1576.11364,200,2.963582
-1016.228018,200,3.034711
-879.842521,200,3.569646
-1352.114472,200,3.640317
-1247.827159,200,3.709996
-1114.888238,200,3.779519
-1507.46612,200,3.848716
-1566.515107,200,4.376831
-1504.132132,200,4.447042
-1499.578967,200,4.516302
-1079.774433,200,4.585554
-1279.136426,200,4.656365
-894.869722,200,5.184531
-1374.6972,200,5.254661
-1557.909301,200,5.324331
-877.056785,200,5.395345
-1447.871878,200,5.464698
-1322.747466,200,5.991145
-1314.911775,200,6.06058
-967.33219,200,6.131152
-813.119382,200,6.201205
-1069.071318,200,6.270707
-853.082586,200,6.800661
-1210.926349,200,6.872551
-1019.988237,200,6.942018
-1189.943234,200,7.012862
-1439.521202,200,7.083591
-1372.356547,200,7.614876
-983.341909,200,7.68454
-1615.926113,200,7.754325
-1292.493832,200,7.823619
-1158.15816,200,7.894415
-1766.839532,200,8.423629
-969.582411,200,8.49338
-867.464021,200,8.562919
-1623.960097,200,8.633808
-1640.403474,200,8.70343
-1434.652605,200,9.652588
-1560.539518,200,9.985647
-1512.239902,200,10.321199
-1626.824535,200,10.657063
-1541.682062,200,10.991465
-1476.118557,200,11.782136
-1516.754711,200,12.114654
-1283.432803,200,12.448399
-1508.545528,200,12.781626
-1422.848842,200,13.115802
-1515.807062,200,13.913785
-1173.444023,200,14.245844
-1328.821125,200,14.58245
-1215.435256,200,14.91577
-1063.3595,200,15.251551
-1198.249572,200,16.054446
-420.442587,200,16.386851
-536.334639,200,16.719094
-278.295829,200,17.053457
-1510.455899,200,17.385018
-564.959587,200,18.190656
-532.242785,200,18.521517
-450.673324,200,18.854788
-971.698996,200,19.187083
-139.965206,200,19.520221
-127.034406,200,20.382838
-330.976984,200,20.71525
-4.922477,200,21.046023
-134.230347,200,21.377636
-133.617388,200,21.707346
-121.290381,200,22.4977
-135.37419,200,22.829795
-274.813991,200,23.160405
-133.485505,200,23.490875
-264.54262,200,23.821527
-242.462707,200,24.621262
-244.748757,200,24.950222
-114.675743,200,25.280618
-1.7192,200,25.61564
-263.695079,200,25.947964
-133.373915,200,26.73867
-1197.052318,200,27.069869
-255.915523,200,27.401743
-133.335026,200,27.734399
-3.137729,200,28.062734
-260.191956,200,28.850858
-1.394283,200,29.182685
-247.867906,200,29.511998
-344.299933,200,29.841624
-120.230122,200,30.171809
-2.318446,200,30.961194
-5.443753,200,31.292521
-131.628024,200,31.623889
-123.954236,200,31.956553
-1015.487629,200,32.290852
-125.031264,200,33.087077
-315.011833,200,33.418924
-285.752568,200,33.750013
-116.514901,200,34.081955
-935.603245,200,34.413289
-245.776015,200,35.202819
-242.929041,200,35.533959
-735.43601,200,35.867421
-226.934885,200,36.196779
-1621.053632,200,36.527325
-1434.436268,200,37.315656
-783.345933,200,37.646384
-242.177916,200,37.982999
-245.353838,200,38.317013
-2.650112,200,38.651481
-138.460013,200,39.465337
-14.997001,200,39.802928
-303.165157,200,40.139948
-1359.72923,200,40.474808
-1374.097036,200,40.854758
