#{"t_start": 1734264001.4096503, "env_id": "Pendulum-v1"}
r,l,t
-982.772951,200,1.095365
-1073.157711,200,1.163637
-961.310004,200,1.231924
-750.687143,200,1.301117
-1318.536633,200,1.372096
-962.881383,200,1.963166
-1140.799739,200,2.031321
-1093.109908,200,2.100263
-965.887556,200,2.170217
-967.680162,200,2.238916
-997.182085,200,2.791829
-755.997061,200,2.860292
-1323.234698,200,2.932337
-1222.319538,200,3.002429
-1045.29621,200,3.072348
-1409.635607,200,3.689665
-858.337323,200,3.7614
-1683.990584,200,3.831489
-1175.473047,200,3.901885
-749.473346,200,3.972001
-880.87503,200,4.525579
-971.176322,200,4.595748
-1445.141881,200,4.665283
-1439.419159,200,4.734905
-1279.445893,200,4.806532
-871.92749,200,5.386161
-1501.919883,200,5.457397
-1096.098809,200,5.527529
-893.407606,200,5.598838
-1461.579379,200,5.668164
-1558.513769,200,6.281981
-1654.633061,200,6.35164
-1084.214486,200,6.423926
-1194.781294,200,6.494141
-1518.946597,200,6.563815
-981.321128,200,7.229164
-958.42074,200,7.301931
-1330.403113,200,7.371817
-1408.554147,200,7.442503
-1170.141586,200,7.512527
-1455.693311,200,8.123986
-1417.661797,200,8.193486
-1339.10641,200,8.263411
-1180.507061,200,8.33328
-1416.777852,200,8.405558
-1522.818633,200,8.979917
-1160.397886,200,9.048996
-1653.126213,200,9.117705
-1438.618906,200,9.187843
-989.960813,200,9.256558
-1257.026736,200,10.196699
-1705.308728,200,10.514549
-1564.705324,200,10.80781
-1774.173767,200,11.100749
-1818.258804,200,11.420086
-1876.173686,200,12.20633
-1722.918077,200,12.52525
-1716.575881,200,12.839967
-1378.594866,200,13.15035
-1656.898961,200,13.442077
-1547.884961,200,14.236448
-1374.263079,200,14.545363
-1167.857814,200,14.910027
-1363.115997,200,15.388385
-1551.838584,200,15.771543
-1620.833414,200,16.743259
-1432.643219,200,17.065804
-1720.509493,200,17.385119
-1637.067166,200,17.710182
-1426.684963,200,18.025787
-1492.841916,200,18.911054
-1250.497376,200,19.228326
-1785.870857,200,19.551604
-1341.522999,200,19.865742
-1531.391303,200,20.183114
-1320.415671,200,20.971283
-1336.498173,200,21.290824
-1559.105125,200,21.607367
-1617.329106,200,21.924722
-1475.355205,200,22.236796
-1351.258487,200,23.032239
-1912.454555,200,23.344368
-1884.517502,200,23.663753
-1907.766551,200,23.97648
-1864.011874,200,24.296494
-1820.170972,200,25.090722
-1699.250846,200,25.413064
-1897.74274,200,25.731098
-1683.713355,200,26.054167
-1730.937763,200,26.370494
-1783.951395,200,27.233289
-1781.039755,200,27.551631
-1791.647872,200,27.874113
-1768.574044,200,28.190586
-1756.277711,200,28.510046
-1743.50811,200,29.302622
-1747.577229,200,29.622005
-1840.327551,200,29.935342
-1760.341397,200,30.253034
-1744.62334,200,30.565979
-1773.678633,200,31.361637
-1848.112644,200,31.678449
-1868.26329,200,31.998219
-1735.585406,200,32.31118
-1564.56543,200,32.63014
-1764.449144,200,33.419414
-1855.446512,200,33.74285
-1797.688104,200,34.057622
-1884.140424,200,34.3772
-1925.113778,200,34.690546
-1736.724584,200,35.485398
-1889.896826,200,35.79774
-1839.645724,200,36.117014
-1821.452561,200,36.429757
-1517.578047,200,36.747624
-1763.084875,200,37.538732
-1850.087271,200,37.857816
-1827.196744,200,38.170354
-1711.880103,200,38.487192
-1696.466577,200,38.801399
-1754.441153,200,39.605854
-1757.879103,200,39.918679
-1720.804611,200,40.235879
-1780.870506,200,40.54828
-1762.046835,200,40.866629
