#{"t_start": 1734272131.9578855, "env_id": "Pendulum-v1"}
r,l,t
-881.73226,200,1.089376
-1034.733555,200,1.157573
-1564.938068,200,1.226419
-1176.459273,200,1.295096
-1173.24248,200,1.366654
-1779.590036,200,1.95926
-832.499688,200,2.027437
-884.360251,200,2.097129
-838.208507,200,2.165988
-1588.887822,200,2.233869
-1128.685725,200,2.780363
-1076.333874,200,2.847835
-994.057861,200,2.916278
-1037.045537,200,2.983944
-1258.74708,200,3.051161
-844.64252,200,3.591171
-1734.413939,200,3.659553
-1073.306704,200,3.726914
-1556.170185,200,3.794222
-1180.768489,200,3.862125
-1267.606246,200,4.402306
-1082.794945,200,4.46944
-878.687659,200,4.536584
-1461.072324,200,4.604146
-673.79126,200,4.672822
-1322.592712,200,5.212203
-1175.042418,200,5.279554
-970.577447,200,5.348359
-1371.45114,200,5.417153
-903.324345,200,5.484307
-1004.168511,200,6.022758
-1315.892488,200,6.090296
-1736.420403,200,6.158735
-1315.442736,200,6.226542
-1662.169363,200,6.294055
-881.981531,200,6.835438
-1066.113481,200,6.904009
-1229.791541,200,6.971302
-1250.905489,200,7.038646
-1266.403492,200,7.106336
-1729.971526,200,7.655701
-1475.726306,200,7.724192
-768.653719,200,7.792442
-1224.663885,200,7.860707
-1451.194902,200,7.929796
-1620.046781,200,8.540043
-1334.962371,200,8.608684
-1577.837602,200,8.679383
-766.381158,200,8.749358
-1310.492151,200,8.817472
-1498.637886,200,9.766902
-1663.774087,200,10.083771
-1437.124283,200,10.406688
-1510.713648,200,10.723377
-1524.713521,200,11.046779
-1644.187892,200,11.948324
-1593.293243,200,12.266643
-1668.942294,200,12.57919
-1541.359415,200,12.895495
-1499.471062,200,13.208285
-1196.61042,200,14.01288
-1508.796173,200,14.325866
-1515.880558,200,14.642487
-1468.000527,200,14.955075
-1521.49583,200,15.274112
-1650.12211,200,16.070883
-1580.903144,200,16.387461
-1657.672027,200,16.699852
-1023.98416,200,17.017811
-1537.222741,200,17.332905
-1151.582564,200,18.204678
-1511.450674,200,18.519349
-1330.051624,200,18.87884
-1567.443235,200,19.195159
-1183.493267,200,19.516713
-1170.350615,200,20.336566
-1623.669402,200,20.65704
-1611.828884,200,20.968527
-1459.249818,200,21.282574
-1638.903715,200,21.593673
-1353.891761,200,22.386379
-1656.490555,200,22.692247
-944.928407,200,23.002118
-1275.67588,200,23.307527
-1207.253895,200,23.620434
-1631.318584,200,24.405335
-1496.437128,200,24.713705
-1590.452806,200,25.018686
-1434.04279,200,25.330867
-1640.596822,200,25.642151
-1513.800081,200,26.436596
-1565.317477,200,26.747231
-1351.967334,200,27.063441
-1409.378758,200,27.375099
-1515.773656,200,27.693783
-1628.317036,200,28.549968
-1638.739499,200,28.871784
-1650.906506,200,29.238081
-1616.168489,200,29.556319
-1647.435385,200,29.864668
-1176.059223,200,30.645516
-831.126015,200,30.949599
-1386.181114,200,31.25829
-1601.908411,200,31.564592
-1529.891267,200,31.874044
-1577.178643,200,32.654107
-1519.641237,200,32.961859
-1407.506652,200,33.266354
-1414.713689,200,33.578237
-1002.684092,200,33.881517
-1512.640056,200,34.663989
-1521.643497,200,34.973483
-1630.745853,200,35.283346
-1523.670666,200,35.588613
-1620.889072,200,35.8973
-1400.909942,200,36.687054
-1608.600906,200,37.008382
-1594.188734,200,37.322971
-1165.492624,200,37.639844
-1592.445936,200,37.951094
-1092.639523,200,38.740094
-1646.601779,200,39.052453
-1516.267824,200,39.370121
-1576.851152,200,39.688391
-1518.504381,200,40.009398
