#{"t_start": 1734262372.9795897, "env_id": "Pendulum-v1"}
r,l,t
-1362.933301,200,1.116619
-987.511014,200,1.205631
-1072.059508,200,1.294043
-877.340732,200,1.382286
-997.805617,200,1.472388
-1560.673201,200,2.105846
-1282.137748,200,2.194871
-863.072119,200,2.284566
-1206.859453,200,2.373965
-1100.608588,200,2.462122
-1144.449093,200,3.105673
-1796.247987,200,3.195582
-1319.494048,200,3.286757
-1303.002866,200,3.376502
-1024.725356,200,3.465201
-953.888589,200,4.050438
-1720.21293,200,4.139698
-1072.230721,200,4.228845
-1307.676022,200,4.317955
-1318.858801,200,4.40724
-1306.68053,200,4.998619
-937.491343,200,5.08747
-1334.655231,200,5.177685
-987.240674,200,5.267049
-1090.42209,200,5.35703
-1296.062059,200,5.942973
-1578.079631,200,6.031912
-964.325078,200,6.12202
-827.606874,200,6.211815
-1692.580202,200,6.30078
-931.570674,200,6.884486
-1460.610723,200,6.973404
-1626.902097,200,7.064451
-1071.92574,200,7.153645
-962.043537,200,7.242727
-1083.681418,200,7.827732
-1354.163955,200,7.917426
-935.146747,200,8.006683
-1750.140356,200,8.095736
-868.155759,200,8.185411
-1557.319014,200,8.796507
-1071.47723,200,8.885172
-895.410945,200,8.974154
-1165.922311,200,9.063098
-876.873169,200,9.152572
-867.285768,200,9.73606
-1079.443341,200,9.825586
-1167.991803,200,9.914764
-938.752295,200,10.004533
-1760.280726,200,10.093171
-1492.280121,200,12.217837
-1807.901019,200,13.662591
-1744.242621,200,15.113966
-1391.956504,200,16.558114
-1543.323988,200,17.996592
-1044.094076,200,19.915507
-826.47434,200,21.362183
-3.350461,200,22.805666
-129.169362,200,24.249698
-246.561285,200,25.693559
-2.785325,200,27.722893
-120.515182,200,29.170169
-118.107304,200,30.613647
-127.034048,200,32.053557
-2.263943,200,33.494141
-116.26157,200,35.409466
-126.050732,200,36.854608
-4.558775,200,38.303695
-234.258352,200,39.747725
-2.232883,200,41.191271
-119.563739,200,43.117223
-230.187481,200,44.564566
-124.733494,200,46.004556
-132.857739,200,47.441506
-131.611044,200,48.884775
-245.948861,200,50.808662
-353.008874,200,52.254611
-121.880315,200,53.706543
-131.73258,200,55.155652
-126.915172,200,56.600597
-126.424901,200,58.525564
-123.490872,200,59.766301
-125.929118,200,60.840974
-244.353838,200,61.915837
-128.289398,200,62.989506
-126.57703,200,64.548266
-240.107644,200,65.625107
-334.713849,200,66.701173
-5.226376,200,67.780487
-342.256331,200,68.857413
-124.497693,200,70.431054
-120.421639,200,71.508269
-6.388642,200,72.587221
-126.00167,200,73.665257
-129.832583,200,74.743184
-124.330523,200,76.298822
-7.265092,200,77.374601
-286.255683,200,78.451903
-131.192177,200,79.529533
-131.046789,200,80.606988
-125.032643,200,82.159324
-360.408076,200,83.23487
-8.9658,200,84.311369
-127.966281,200,85.389489
-129.015482,200,86.465733
-121.670011,200,88.018568
-10.504255,200,89.092117
-255.186301,200,90.281518
-128.386729,200,91.72658
-10.010339,200,93.170723
-240.186916,200,95.093778
-129.501413,200,96.538651
-135.292346,200,97.986542
-127.15686,200,99.428998
-360.767709,200,100.876736
-247.39846,200,102.798659
-249.871813,200,104.239929
-275.640758,200,105.683768
-249.490673,200,107.12765
-141.270255,200,108.57166
-371.836671,200,110.493611
-260.20086,200,111.938603
-128.998723,200,113.384725
-287.338554,200,114.829786
-14.427459,200,116.274622
