#{"t_start": 1734262256.926102, "env_id": "Pendulum-v1"}
r,l,t
-903.914899,200,1.121337
-1529.148244,200,1.208294
-1274.060449,200,1.296173
-1169.48517,200,1.384263
-1470.713336,200,1.472899
-976.122085,200,2.083267
-972.185323,200,2.170764
-1505.949127,200,2.2588
-1049.379868,200,2.34814
-821.739916,200,2.435844
-1801.230464,200,3.139875
-1327.346145,200,3.22761
-1064.935167,200,3.316405
-1827.814358,200,3.403725
-965.077466,200,3.491223
-1071.493305,200,4.215364
-1195.306321,200,4.302988
-1606.454517,200,4.390322
-972.240701,200,4.476762
-1477.926177,200,4.563027
-1530.752996,200,5.135192
-1400.212711,200,5.222647
-1542.476891,200,5.310358
-1299.255624,200,5.397424
-949.072253,200,5.485313
-1185.196063,200,6.054403
-1004.806716,200,6.139911
-1147.753991,200,6.227135
-1308.239401,200,6.314905
-1066.48411,200,6.402586
-968.410957,200,7.032427
-981.792678,200,7.120053
-854.80466,200,7.208103
-1342.430252,200,7.294581
-964.561438,200,7.382054
-1446.673506,200,8.058066
-1514.690777,200,8.146199
-1513.075454,200,8.233785
-1237.298913,200,8.320719
-1444.171463,200,8.408456
-1751.156812,200,9.106851
-1744.936187,200,9.193972
-766.164939,200,9.281911
-965.060793,200,9.368762
-885.462065,200,9.455523
-764.831686,200,10.110622
-1478.77819,200,10.197434
-1192.04794,200,10.284085
-1714.433621,200,10.371568
-1336.136635,200,10.459441
-1655.133154,200,12.405065
-1541.548123,200,13.578676
-1161.820341,200,15.1688
-527.775218,200,16.760534
-417.460013,200,18.347497
-127.697682,200,20.64593
-388.045648,200,22.230666
-121.08315,200,23.813478
-251.52037,200,25.403117
-128.879652,200,26.994625
-123.483299,200,28.809304
-123.354925,200,29.991899
-121.537465,200,31.167578
-302.630008,200,32.349196
-121.354856,200,33.526741
-121.19541,200,35.237589
-120.469092,200,36.417629
-118.026522,200,37.6848
-122.07266,200,38.867355
-119.823074,200,40.050775
-4.423855,200,41.797495
-250.021094,200,42.957741
-292.734121,200,44.116866
-118.185276,200,45.272558
-119.6312,200,46.43864
-247.031177,200,48.128382
-118.679996,200,49.290636
-120.225601,200,50.447575
-2.080673,200,51.607305
-115.518391,200,52.779687
-127.884276,200,54.3903
-312.251947,200,55.535427
-247.97377,200,56.683133
-118.448489,200,57.833117
-124.773721,200,58.992857
-225.262121,200,60.599503
-116.336227,200,61.748422
-229.926923,200,63.201247
-118.520436,200,64.731558
-126.520041,200,66.232833
-123.602839,200,67.950358
-115.574108,200,69.097165
-127.678409,200,70.49607
-116.164486,200,71.905238
-123.452552,200,73.053069
-125.244436,200,74.669782
-236.705221,200,75.821417
-126.001118,200,76.971199
-128.606292,200,78.188448
-122.472495,200,79.333309
-0.641731,200,80.937651
-115.883587,200,82.085264
-235.37569,200,83.238369
-239.221338,200,84.396498
-1.634456,200,85.542738
-116.390178,200,87.148813
-117.603539,200,88.29755
-120.673374,200,89.453552
-0.751237,200,90.848686
-116.920319,200,92.435302
-236.491134,200,94.461976
-117.530066,200,95.747413
-132.700965,200,96.895518
-352.399663,200,98.041293
-119.584704,200,99.187649
-244.311275,200,100.795278
-242.240468,200,101.956097
-123.020667,200,103.102056
-121.155249,200,104.250744
-123.725683,200,105.397427
-117.911322,200,107.018706
-121.425496,200,108.169798
-318.859751,200,109.370075
-238.394265,200,110.892512
-281.3106,200,112.069894
