#{"t_start": 1734262927.0401065, "env_id": "Pendulum-v1"}
r,l,t
-1154.322036,200,1.100262
-882.783633,200,1.171744
-1697.144483,200,1.242431
-888.376266,200,1.312198
-1549.30211,200,1.384504
-1687.619439,200,1.996176
-1064.996882,200,2.067609
-1685.734437,200,2.138825
-1688.353313,200,2.210678
-1516.045941,200,2.282416
-1240.379525,200,2.948784
-1293.413154,200,3.019449
-900.647787,200,3.090769
-1290.165347,200,3.16286
-862.093711,200,3.234129
-1442.713909,200,3.929028
-1284.641591,200,4.000173
-1500.773025,200,4.07072
-1448.66352,200,4.141397
-1772.771947,200,4.212216
-889.117468,200,4.922188
-1283.785954,200,4.99295
-901.991731,200,5.064131
-1287.28071,200,5.134937
-1485.797076,200,5.205311
-1010.249282,200,5.766398
-1472.294241,200,5.83613
-1726.895398,200,5.905339
-1752.270289,200,5.975559
-865.138347,200,6.045438
-890.23049,200,6.603347
-1340.848245,200,6.673308
-1076.868305,200,6.743504
-1502.62239,200,6.81271
-910.560726,200,6.881758
-910.631246,200,7.437437
-917.444392,200,7.507397
-1075.948258,200,7.577051
-827.682056,200,7.648202
-1832.352476,200,7.717526
-1502.095222,200,8.275037
-1526.798743,200,8.344302
-886.206854,200,8.413389
-1559.558759,200,8.483225
-1698.977195,200,8.553591
-1799.79447,200,9.110948
-1254.717121,200,9.180693
-1358.738323,200,9.250459
-1181.863355,200,9.320739
-1278.795747,200,9.390064
-1578.419157,200,10.357687
-1818.233456,200,10.681822
-1365.049196,200,11.010551
-1610.857031,200,11.335455
-1743.66903,200,11.664602
-1716.928066,200,12.519653
-1706.723998,200,12.852687
-1879.070908,200,13.178547
-1749.513263,200,13.509906
-1556.384405,200,13.834812
-1753.701853,200,14.689855
-1799.202919,200,15.007866
-1874.247065,200,15.32735
-1779.7735,200,15.639683
-1821.326752,200,15.960864
-1693.92149,200,16.76169
-1794.502481,200,17.077506
-1422.397381,200,17.389405
-1345.061791,200,17.716109
-1277.379614,200,18.029398
-1031.52256,200,18.841864
-1234.329386,200,19.153143
-787.56743,200,19.478563
-773.074737,200,19.801845
-874.477875,200,20.116386
-1215.355994,200,21.05986
-1394.276263,200,21.391375
-1174.484822,200,21.71862
-1551.94554,200,22.039388
-1283.204305,200,22.353173
-1435.128904,200,23.238647
-1476.467091,200,23.556022
-1532.426609,200,23.87827
-1456.190525,200,24.193753
-1384.970635,200,24.519321
-1270.609568,200,25.3168
-1435.76503,200,25.635603
-1241.467519,200,25.950021
-1324.074214,200,26.27017
-933.812447,200,26.583171
-1354.821707,200,27.38242
-1341.014498,200,27.697097
-1380.311319,200,28.019143
-1225.567012,200,28.33397
-1338.420502,200,28.652274
-1266.353793,200,29.445189
-1134.066106,200,29.774127
-799.771866,200,30.088057
-527.411278,200,30.40864
-921.613015,200,30.826626
-875.515881,200,31.643447
-513.675254,200,31.960818
-768.919574,200,32.276927
-519.199707,200,32.589161
-391.015561,200,32.913214
-640.365133,200,33.724371
-517.838681,200,34.044276
-622.718053,200,34.357798
-515.126189,200,34.684983
-264.606552,200,35.0009
-602.892179,200,35.814649
-502.327687,200,36.126106
-443.682523,200,36.454623
-519.963534,200,36.780529
-488.098191,200,37.097667
-426.762967,200,37.894932
-263.955756,200,38.221476
-501.281693,200,38.542897
-414.189937,200,38.867567
-283.05987,200,39.178862
-389.349247,200,39.97773
-394.404383,200,40.289367
-637.276477,200,40.606512
-503.648156,200,40.918272
-391.499928,200,41.235687
