#{"t_start": 1734271763.6619222, "env_id": "Pendulum-v1"}
r,l,t
-897.565168,200,1.084868
-1493.70419,200,1.150165
-1641.934132,200,1.215981
-1269.636328,200,1.282229
-1165.2899,200,1.350199
-1717.656201,200,1.941116
-1730.691482,200,2.007376
-1480.686901,200,2.07356
-989.740003,200,2.141393
-1228.371779,200,2.20703
-1124.594472,200,2.923924
-1766.636417,200,2.989796
-825.963696,200,3.057869
-793.31247,200,3.124541
-1203.70412,200,3.190778
-1700.267215,200,3.787402
-1459.542464,200,3.854954
-952.475136,200,3.920952
-1577.778781,200,3.986482
-1366.33166,200,4.052999
-981.943157,200,4.685957
-1063.048065,200,4.752059
-1312.412881,200,4.818542
-1297.192273,200,4.884908
-1647.249378,200,4.952381
-1180.297217,200,5.719058
-1386.150528,200,5.785507
-999.649963,200,5.851704
-895.594626,200,5.91929
-852.618686,200,5.985765
-1168.601852,200,6.57631
-1314.424453,200,6.643641
-1061.745171,200,6.711269
-876.646051,200,6.836723
-1626.771936,200,6.903063
-1072.464149,200,7.545556
-1653.47866,200,7.613426
-873.277658,200,7.679607
-1295.166881,200,7.746254
-975.716855,200,7.812371
-1523.580255,200,8.556304
-1052.130856,200,8.622899
-917.12318,200,8.68942
-963.559671,200,8.755728
-1070.267037,200,8.823081
-1355.697032,200,9.466331
-1271.661764,200,9.532204
-1173.139847,200,9.598577
-728.204867,200,9.665934
-1322.410842,200,9.731501
-1058.605903,200,10.515369
-1552.759387,200,10.701485
-1613.461727,200,10.860761
-1552.445792,200,11.023606
-929.006332,200,11.178318
-1504.711265,200,11.912344
-1512.449237,200,12.078369
-1709.819778,200,12.237514
-1506.582242,200,12.400024
-1470.178502,200,12.555779
-1489.36276,200,13.193045
-1430.616585,200,13.351519
-1443.06574,200,13.514153
-1484.575936,200,13.667666
-830.995114,200,13.829445
-1530.46955,200,14.464337
-1244.183246,200,14.623189
-1559.915761,200,14.784545
-1687.131036,200,14.93881
-1688.157183,200,15.099433
-1908.688785,200,15.730456
-1867.695366,200,15.893635
-1823.723143,200,16.057006
-1682.265973,200,16.210347
-1768.587665,200,16.373656
-1714.75136,200,17.00782
-1652.576301,200,17.170571
-1536.62503,200,17.32474
-1485.560896,200,17.490512
-1573.110243,200,17.651791
-1554.37755,200,18.451465
-1625.772807,200,18.616556
-1659.480471,200,18.77103
-1704.226832,200,18.93471
-1660.288437,200,19.099366
-1621.149706,200,19.758349
-1737.186074,200,19.915313
-1625.399903,200,20.080025
-1581.474996,200,20.245504
-1563.716116,200,20.404259
-1583.487371,200,21.072845
-1619.396951,200,21.227523
-1588.3159,200,21.391719
-1595.109874,200,21.550848
-1361.779526,200,21.714669
-1595.161587,200,22.374381
-1624.328769,200,22.54014
-1586.700831,200,22.704937
-1592.974423,200,22.863691
-1566.923702,200,23.027362
-1516.073379,200,23.678713
-1474.302628,200,23.84276
-1547.279711,200,24.002213
-1540.75376,200,24.165816
-1488.330476,200,24.331236
-1551.77074,200,25.033601
-1204.107974,200,25.198962
-1454.620664,200,25.358753
-1516.795651,200,25.523006
-1501.829991,200,25.67965
-1487.007985,200,26.369896
-1529.142836,200,26.529996
-1548.456861,200,26.695165
-1204.551335,200,26.85891
-1422.588778,200,27.103139
-1537.932844,200,27.782054
-1466.062682,200,27.942197
-1528.692902,200,28.106001
-1262.449448,200,28.260855
-1531.693528,200,28.424867
-1531.381786,200,29.068137
-1539.326681,200,29.22633
-1462.078495,200,29.38944
-910.787629,200,29.542879
-1502.387587,200,29.713208
