#{"t_start": 1734271364.954626, "env_id": "Pendulum-v1"}
r,l,t
-878.185539,200,1.097658
-778.952094,200,1.182351
-1394.79093,200,1.267389
-978.991669,200,1.353878
-883.584108,200,1.44214
-995.656688,200,2.055388
-964.233399,200,2.141056
-1582.041779,200,2.228161
-1166.350053,200,2.315896
-980.273373,200,2.401967
-1297.171186,200,2.966754
-1492.152817,200,3.0513
-970.15054,200,3.137176
-1003.920445,200,3.221994
-1374.13935,200,3.30655
-929.531261,200,3.868026
-1800.546177,200,3.95398
-1333.778231,200,4.038494
-1165.05816,200,4.122994
-1072.264187,200,4.20828
-1088.304863,200,4.771421
-1082.963104,200,4.856155
-1550.608294,200,4.94105
-1127.780556,200,5.025607
-1799.860363,200,5.111183
-1501.114969,200,5.673009
-909.854614,200,5.757335
-1416.57488,200,5.841896
-877.139277,200,5.928106
-1655.108756,200,6.012805
-1166.496508,200,6.573416
-1264.974516,200,6.657932
-1459.237345,200,6.744409
-1591.217116,200,6.828691
-967.358966,200,6.9131
-1734.662271,200,7.476963
-1175.507966,200,7.563665
-961.157111,200,7.649251
-868.448541,200,7.735651
-1028.424263,200,7.822559
-1656.245745,200,8.396526
-1269.374493,200,8.480932
-1354.277922,200,8.565202
-870.457879,200,8.649852
-1218.365462,200,8.735307
-865.981812,200,9.302622
-1276.338025,200,9.387125
-1018.692715,200,9.47197
-1191.631927,200,9.558047
-1027.199962,200,9.642767
-1587.041196,200,11.725961
-1646.499153,200,13.193264
-1646.94179,200,14.675677
-1401.998009,200,16.143997
-1529.27616,200,17.577607
-1495.168575,200,19.454605
-1516.336805,200,20.918437
-1658.992509,200,22.369064
-1577.338269,200,23.818791
-1610.337523,200,25.266662
-1522.413709,200,27.19976
-1373.9664,200,28.644605
-1576.725189,200,30.088611
-1371.520634,200,31.530533
-1476.763392,200,32.980966
-1357.626864,200,34.904793
-1213.949941,200,36.351097
-1478.087026,200,37.797487
-1296.742209,200,39.241996
-1514.313989,200,40.687438
-1648.271492,200,42.607438
-1647.815153,200,44.050892
-1540.256893,200,45.496824
-1091.299029,200,46.94076
-1595.120495,200,48.384891
-1511.649242,200,50.308662
-1206.465105,200,51.754708
-1181.683516,200,53.203227
-1544.934432,200,54.651666
-1511.521618,200,56.100137
-1521.34385,200,58.02504
-1595.265188,200,59.472798
-924.735086,200,60.918479
-1655.06,200,62.360431
-1414.989794,200,63.806477
-1575.110045,200,65.729657
-1553.857762,200,67.177715
-1615.561968,200,68.628675
-1326.206093,200,70.078742
-1563.431313,200,71.525185
-1669.586402,200,73.454695
-1646.205831,200,74.905731
-1306.217549,200,76.354512
-1621.864845,200,77.798525
-1476.15199,200,79.243489
-1529.708997,200,81.160443
-1590.703035,200,82.601526
-1658.261715,200,84.043488
-1295.282263,200,85.445226
-1258.548023,200,86.693437
-1640.548306,200,88.233807
-1463.452019,200,89.297094
-1514.843423,200,90.359539
-1536.357533,200,91.419599
-1625.274552,200,92.483865
-846.404688,200,94.124346
-1519.900301,200,95.222044
-1531.174554,200,96.286724
-1582.130118,200,97.347751
-1648.446369,200,98.40804
-1613.736622,200,99.961884
-1641.767958,200,101.024943
-1354.872556,200,102.146979
-1255.67031,200,103.547953
-1665.134649,200,104.949393
-1641.748644,200,106.825128
-1614.273648,200,108.225801
-1072.796055,200,109.625715
-1181.788634,200,111.019003
-1528.739624,200,112.41589
-1324.94414,200,114.291038
-1332.599201,200,115.692239
-1200.322235,200,117.09359
-1342.579902,200,118.496108
-1396.443473,200,119.898934
