,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
28,28,-1498.5037548,2024-12-11 02:02:32.562128,2024-12-11 02:06:29.267622,0 days 00:03:56.705494,128,100000,0.98,0.028433213939968255,medium,0.2464655610216075,ornstein-uhlenbeck,0.005,256,PRUNED
29,29,-171.03045759999998,2024-12-11 02:06:29.267874,2024-12-11 02:16:56.475699,0 days 00:10:27.207825,1024,1000000,0.98,0.0006637341533445977,medium,0.3985640100135328,,0.05,512,PRUNED
30,30,-167.12878960000003,2024-12-11 02:16:56.475963,2024-12-11 02:18:16.287230,0 days 00:01:19.811267,64,1000000,0.98,0.0011129017239161613,small,0.05653466866216936,ornstein-uhlenbeck,0.08,256,COMPLETE
31,31,-170.2663128,2024-12-11 02:18:16.287716,2024-12-11 02:21:36.381649,0 days 00:03:20.093933,64,1000000,0.98,0.001142237687087271,big,0.04352839148785549,ornstein-uhlenbeck,0.08,512,PRUNED
32,32,-442.07282319999996,2024-12-11 02:21:36.381910,2024-12-11 02:22:52.203357,0 days 00:01:15.821447,64,1000000,0.98,0.0001354301251155205,small,0.029792756495946277,ornstein-uhlenbeck,0.08,256,PRUNED
33,33,-188.1917942,2024-12-11 02:22:52.203593,2024-12-11 02:26:06.330265,0 days 00:03:14.126672,128,1000000,0.98,0.0005770764210615699,medium,0.1732858874971929,ornstein-uhlenbeck,0.005,1,PRUNED
34,34,-170.07697159999998,2024-12-11 02:26:06.330527,2024-12-11 02:29:25.591902,0 days 00:03:19.261375,128,1000000,0.98,0.0033902548918220018,medium,0.0362958289377982,ornstein-uhlenbeck,0.05,16,COMPLETE
35,35,-1366.388729,2024-12-11 02:29:25.592412,2024-12-11 02:33:23.004268,0 days 00:03:57.411856,128,1000000,0.98,0.0428379983135386,medium,0.15789263170170098,normal,0.05,256,PRUNED
36,36,-171.21928160000002,2024-12-11 02:33:23.004524,2024-12-11 02:36:10.430386,0 days 00:02:47.425862,100,1000000,0.98,0.0004482664171799006,medium,0.3834177102180907,ornstein-uhlenbeck,0.05,8,PRUNED
37,37,-173.0032184,2024-12-11 02:36:10.430641,2024-12-11 02:38:56.153706,0 days 00:02:45.723065,64,10000,0.98,0.0012875711087462355,medium,0.05762190884953178,ornstein-uhlenbeck,0.005,256,PRUNED
38,38,-1498.5037548,2024-12-11 02:38:56.153959,2024-12-11 02:40:26.260394,0 days 00:01:30.106435,64,1000000,0.98,0.06548530974554169,small,0.16628621800614657,normal,0.08,32,PRUNED
39,39,-170.1573784,2024-12-11 02:40:26.260631,2024-12-11 02:46:39.941448,0 days 00:06:13.680817,512,1000000,0.98,0.0008382087526785956,medium,0.18130085527050005,,0.08,256,PRUNED
40,40,-1366.388729,2024-12-11 02:46:39.941712,2024-12-11 02:50:09.738566,0 days 00:03:29.796854,64,1000000,0.98,0.010813464551790171,medium,0.1986896534532694,,0.005,512,PRUNED
41,41,-173.9745234,2024-12-11 02:50:09.738814,2024-12-11 02:53:31.525985,0 days 00:03:21.787171,64,1000000,0.98,0.008826636544939764,medium,0.27032037271270826,ornstein-uhlenbeck,0.05,256,PRUNED
42,42,-169.2946238,2024-12-11 02:53:31.526231,2024-12-11 02:56:24.946054,0 days 00:02:53.419823,64,100000,0.98,0.0016141598868090383,medium,0.1894430425267197,ornstein-uhlenbeck,0.05,512,COMPLETE
43,43,-168.2997882,2024-12-11 02:56:24.946560,2024-12-11 03:07:12.744707,0 days 00:10:47.798147,1024,100000,0.98,0.002653550748513721,medium,0.1487153710661818,ornstein-uhlenbeck,0.08,64,COMPLETE
44,44,-170.2214888,2024-12-11 03:07:12.745431,2024-12-11 03:09:01.970880,0 days 00:01:49.225449,1024,100000,0.98,0.0007383822667115721,small,0.10741717167132944,ornstein-uhlenbeck,0.08,64,PRUNED
45,45,-170.1933072,2024-12-11 03:09:01.971119,2024-12-11 03:10:29.322348,0 days 00:01:27.351229,256,1000000,0.98,0.0039527794596533414,small,0.14447730876591547,normal,0.08,256,PRUNED
46,46,-171.3542252,2024-12-11 03:10:29.322586,2024-12-11 03:32:23.705016,0 days 00:21:54.382430,2048,100000,0.98,0.0005186543562452739,medium,0.02409954908319681,normal,0.08,64,PRUNED
47,47,-167.3597612,2024-12-11 03:32:23.705293,2024-12-11 03:43:17.817272,0 days 00:10:54.111979,1024,100000,0.98,0.0026831791058365352,medium,0.02885592369644055,ornstein-uhlenbeck,0.01,128,COMPLETE
48,48,-169.6315608,2024-12-11 03:43:17.817903,2024-12-11 03:49:35.094457,0 days 00:06:17.276554,512,100000,0.98,0.0008558352777677631,medium,0.10856133643450451,normal,0.01,128,COMPLETE
49,49,-1498.5037548,2024-12-11 03:49:35.095120,2024-12-11 04:00:39.928287,0 days 00:11:04.833167,1024,100000,0.98,0.08259858245253404,medium,0.03662831506788966,ornstein-uhlenbeck,0.01,128,PRUNED
