#{"t_start": 1734272217.5588567, "env_id": "Pendulum-v1"}
r,l,t
-1287.417051,200,1.091208
-1486.825925,200,1.157937
-1415.198224,200,1.22492
-1374.302134,200,1.291915
-994.272229,200,1.361696
-899.701161,200,1.951623
-838.739767,200,2.01805
-1350.396688,200,2.085309
-880.990709,200,2.153231
-1543.364454,200,2.219552
-863.507974,200,2.950298
-855.183745,200,3.016796
-874.941687,200,3.085202
-1207.624527,200,3.151879
-1482.312948,200,3.217906
-926.585812,200,3.828347
-1791.141534,200,3.897025
-839.407903,200,3.963076
-1162.270113,200,4.029346
-1068.373363,200,4.096457
-1705.048398,200,4.756339
-1195.413337,200,4.822871
-1178.579134,200,4.889213
-865.262388,200,4.955426
-870.132019,200,5.039949
-1323.077251,200,5.62897
-875.386153,200,5.695384
-1251.619253,200,5.763642
-1597.034396,200,5.831322
-1304.321208,200,5.897363
-947.322683,200,6.521713
-1064.743896,200,6.588087
-1235.610921,200,6.655811
-1234.458094,200,6.722293
-1503.054012,200,6.788837
-1091.393515,200,7.475778
-721.135824,200,7.544173
-877.606462,200,7.610755
-1532.677518,200,7.676546
-1327.566639,200,7.743641
-1266.768642,200,8.283907
-869.414983,200,8.349371
-892.12971,200,8.415207
-1466.905685,200,8.480981
-1597.747687,200,8.548347
-860.082114,200,9.089268
-1180.127775,200,9.155298
-1750.250814,200,9.221021
-1500.404421,200,9.288197
-1064.884656,200,9.353775
-1327.578642,200,10.176639
-1161.296233,200,10.366616
-1519.387168,200,10.560351
-1413.588441,200,10.748501
-1535.880804,200,10.936728
-1640.065958,200,11.600011
-1587.75684,200,11.799839
-1613.52637,200,11.987909
-1496.539646,200,12.176678
-1412.447123,200,12.366381
-1443.300147,200,13.129942
-1646.465291,200,13.32171
-1645.150403,200,13.513169
-1584.747983,200,13.704897
-1623.995944,200,13.906096
-945.788045,200,14.611729
-1619.921941,200,14.80238
-1400.787226,200,14.992388
-1081.597392,200,15.205835
-1629.818254,200,15.397492
-1514.149728,200,16.133013
-1649.620959,200,16.324818
-1650.855878,200,16.526658
-1655.770176,200,16.717598
-1562.576983,200,16.908365
-1193.979917,200,17.667284
-1561.616904,200,17.865102
-1523.927311,200,18.056565
-1582.60235,200,18.249066
-1490.43639,200,18.440642
-1572.719427,200,19.124717
-1297.897213,200,19.317386
-1522.061477,200,19.511717
-1536.632832,200,19.704808
-1393.868853,200,19.903919
-1190.866135,200,20.607576
-1273.926588,200,20.804741
-1251.139813,200,20.998851
-1655.312543,200,21.211248
-1629.526547,200,21.407199
-1664.805503,200,22.081358
-1488.630547,200,22.271716
-1523.141406,200,22.468941
-1482.563703,200,22.659749
-1639.709629,200,22.850109
-1412.397015,200,23.511587
-1642.453137,200,23.71018
-1337.355459,200,23.899782
-1655.256518,200,24.088117
-1484.007782,200,24.276709
-1311.253717,200,24.941813
-928.688166,200,25.130615
-1096.565014,200,25.320081
-1475.241308,200,25.508733
-1204.227009,200,25.706846
-1345.566665,200,26.397031
-1666.145343,200,26.589358
-1330.416954,200,26.782338
-1526.711146,200,26.981014
-1654.965778,200,27.175334
-947.100875,200,27.879651
-1186.06973,200,28.074086
-1632.22844,200,28.277244
-1576.978326,200,28.47075
-944.049532,200,28.662926
-1314.01966,200,29.334803
-1521.82754,200,29.531907
-1523.192623,200,29.722374
-1280.363589,200,29.91332
-1092.438555,200,30.103862
-1661.148117,200,30.783672
-1461.440242,200,30.974855
-1515.695558,200,31.16649
-1201.30393,200,31.358103
-1644.762377,200,31.554692
