#{"t_start": 1734264143.035567, "env_id": "Pendulum-v1"}
r,l,t
-1480.386358,200,1.083783
-1172.594228,200,1.1545
-1541.051404,200,1.224789
-1068.301656,200,1.295503
-1525.270091,200,1.368665
-869.047287,200,1.958276
-923.956309,200,2.029768
-883.224059,200,2.100332
-1000.496116,200,2.17345
-1727.964537,200,2.243866
-1568.827267,200,2.920372
-1068.811733,200,2.99103
-871.76444,200,3.062997
-1425.378898,200,3.132339
-1548.16906,200,3.202128
-1078.034593,200,3.904085
-874.520798,200,3.975792
-1150.261388,200,4.045264
-998.216661,200,4.115032
-1181.691682,200,4.185074
-1226.610109,200,5.002117
-1667.137797,200,5.072068
-982.129401,200,5.141878
-1312.136694,200,5.211713
-1481.08336,200,5.283558
-1651.402832,200,5.905222
-1427.585264,200,5.975345
-1193.385097,200,6.045172
-1619.487966,200,6.116118
-1287.394592,200,6.186249
-970.955718,200,6.805946
-1100.788766,200,6.876324
-1439.741186,200,6.947998
-1170.234898,200,7.01757
-1072.808165,200,7.086793
-1613.158391,200,7.619807
-1562.440197,200,7.69066
-1445.269365,200,7.759433
-1640.631664,200,7.828796
-962.910591,200,7.898907
-891.082843,200,8.432092
-1015.030227,200,8.50126
-892.86269,200,8.570954
-1578.804686,200,8.640668
-1094.75957,200,8.711564
-1667.801878,200,9.244919
-1335.628485,200,9.314163
-1510.730172,200,9.383628
-769.102088,200,9.454127
-888.065272,200,9.523463
-1195.632804,200,10.356766
-1388.280996,200,10.552963
-1549.779615,200,10.758509
-1197.831335,200,10.954692
-1051.378575,200,11.150944
-1623.992251,200,11.814102
-1364.232095,200,12.01958
-1800.71888,200,12.216095
-1685.946439,200,12.414732
-1754.058259,200,12.613274
-1896.672699,200,13.345094
-1505.323982,200,13.543536
-1511.117004,200,13.741803
-1926.206886,200,13.94071
-1555.053844,200,14.147141
-1457.682488,200,14.891773
-1747.660789,200,15.089465
-1598.367725,200,15.288413
-1417.371714,200,15.49506
-1437.798159,200,15.692265
-1451.854528,200,16.419581
-1866.424624,200,16.621051
-1747.552714,200,16.840024
-1510.487546,200,17.03714
-1346.294496,200,17.234651
-1215.687134,200,17.895123
-1872.766609,200,18.099296
-1316.144253,200,18.295838
-1277.742249,200,18.491832
-1327.347876,200,18.687231
-1275.576994,200,19.368172
-1282.293741,200,19.564429
-1498.916961,200,19.762657
-1213.117049,200,19.959717
-1051.839106,200,20.165344
-1346.123053,200,20.82535
-1802.026012,200,21.02202
-847.095528,200,21.218031
-1045.096308,200,21.422435
-1464.414034,200,21.618797
-1206.091862,200,22.279692
-1296.716489,200,22.475816
-1188.190361,200,22.682446
-1166.041865,200,22.881458
-1276.889606,200,23.07937
-1143.870865,200,23.805159
-1064.573053,200,24.010011
-1755.273474,200,24.206678
-1919.160443,200,24.40285
-1422.392946,200,24.598825
-1382.792883,200,25.322208
-1212.889544,200,25.518433
-1754.957508,200,25.716016
-1261.696631,200,25.914235
-1879.856007,200,26.121396
-1381.056453,200,26.802705
-1735.560716,200,27.001568
-1844.247697,200,27.198663
-1748.517087,200,27.402487
-1355.808207,200,27.597956
-1195.563538,200,28.259
-1279.915514,200,28.453122
-1783.288994,200,28.656272
-1660.287829,200,28.84986
-1509.224899,200,29.045658
-1913.126804,200,29.703072
-1676.632089,200,29.910122
-1853.462021,200,30.104937
-1770.650486,200,30.300164
-1836.135037,200,30.494486
-1811.095033,200,31.161141
-1751.494913,200,31.355494
-1912.503042,200,31.550378
-1553.783626,200,31.744606
-1764.439048,200,31.947559
